episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples,modelErrL1,trueValueGap
1,25.0,2.0,1.9583534496038983,20,1.0,5,5,0.8,NaN
11,25.0,2.0,1.8446005624647452,20,1.0,9,84,0.8,NaN
21,25.0,2.0,1.831397977050233,20,1.0,10,182,0.8,NaN
31,25.0,2.0,1.8253559600385043,20,1.0,11,291,0.8,NaN
41,25.0,2.0,1.8218156853471796,20,1.0,12,404,0.8,NaN
51,25.0,2.0,1.8193635220726567,20,1.0,12,524,0.8,NaN
61,25.0,2.0,1.8176137528190346,20,1.0,12,644,0.8,NaN
71,25.0,2.0,1.8161987786690332,20,1.0,13,772,0.8,NaN
81,25.0,2.0,1.8150767911056516,20,1.0,13,902,0.8,NaN
91,25.0,2.0,1.814170422218104,20,1.0,13,1032,0.8,NaN
101,25.0,2.0,1.813415396424043,20,1.0,13,1162,0.8,NaN
111,25.0,2.0,1.8127417862284347,20,1.0,14,1299,0.8,NaN
121,25.0,2.0,1.8121530213837833,20,1.0,14,1439,0.8,NaN
131,25.0,2.0,1.8116429053121608,20,1.0,14,1579,0.8,NaN
141,25.0,2.0,1.8111931373859602,20,1.0,14,1719,0.8,NaN
151,25.0,2.0,1.8107954499173835,20,1.0,14,1859,0.8,NaN
161,25.0,2.0,1.8104385542988404,20,1.0,14,1999,0.8,NaN
171,25.0,2.0,1.810117160337158,20,1.0,14,2139,0.8,NaN
181,25.0,2.0,1.809806122427339,20,1.0,15,2288,0.8,NaN
191,25.0,2.0,1.8095223866693573,20,1.0,15,2438,0.8,NaN
201,25.0,2.0,1.809262253832792,20,1.0,15,2588,0.8,NaN
211,25.0,2.0,1.8090232746255648,20,1.0,15,2738,0.8,NaN
221,25.0,2.0,1.808802838117045,20,1.0,15,2888,0.8,NaN
231,25.0,2.0,1.8085981572378764,20,1.0,15,3038,0.8,NaN
241,25.0,2.0,1.808407911971311,20,1.0,15,3188,0.8,NaN
251,25.0,2.0,1.8082302222768738,20,1.0,15,3338,0.8,NaN
261,25.0,2.0,1.8080639853325309,20,1.0,15,3488,0.8,NaN
271,25.0,2.0,1.8079080507820091,20,1.0,15,3638,0.8,NaN
281,25.0,2.0,1.8077608170436033,20,1.0,15,3788,0.8,NaN
291,25.0,2.0,1.807616388805401,20,1.0,16,3944,0.8,NaN
301,25.0,2.0,1.807476884106156,20,1.0,16,4104,0.8,NaN
311,25.0,2.0,1.8073451237336478,20,1.0,16,4264,0.8,NaN
321,25.0,2.0,1.807220267060412,20,1.0,16,4424,0.8,NaN
331,25.0,2.0,1.8071017703841765,20,1.0,16,4584,0.8,NaN
341,25.0,2.0,1.8069894058654286,20,1.0,16,4744,0.8,NaN
351,25.0,2.0,1.806882521471893,20,1.0,16,4904,0.8,NaN
361,25.0,2.0,1.8067803457266216,20,1.0,16,5064,0.8,NaN
371,25.0,2.0,1.8066829721761923,20,1.0,16,5224,0.8,NaN
381,25.0,2.0,1.8065896544502682,20,1.0,16,5384,0.8,NaN
391,25.0,2.0,1.806500236998939,20,1.0,16,5544,0.8,NaN
401,25.0,2.0,1.8064146503877931,20,1.0,16,5704,0.8,NaN
411,25.0,2.0,1.8063325485876818,20,1.0,16,5864,0.8,NaN
421,25.0,2.0,1.8062535325074456,20,1.0,16,6024,0.8,NaN
431,25.0,2.0,1.8061776300243264,20,1.0,16,6184,0.8,NaN
441,25.0,2.0,1.8061046706939297,20,1.0,16,6344,0.8,NaN
451,25.0,2.0,1.8060343201959839,20,1.0,16,6504,0.8,NaN
461,25.0,2.0,1.8059662899793885,20,1.0,16,6664,0.8,NaN
471,25.0,2.0,1.8059001068934375,20,1.0,17,6825,0.8,NaN
481,25.0,2.0,1.8058326500651098,20,1.0,17,6995,0.8,NaN
