episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples,modelErrL1,trueValueGap
1,9.0,2.0,1.757809756279123,16,1.0,71,71,0.8,NaN
11,9.0,2.0,1.6612901514551601,16,1.0,138,1255,0.8,NaN
21,9.0,2.0,1.6503142252756597,16,1.0,158,2752,0.8,NaN
31,9.0,2.0,1.6453863971055844,16,1.0,170,4401,0.8,NaN
41,9.0,2.0,1.6424648624582932,16,1.0,179,6151,0.8,NaN
51,9.0,2.0,1.6404838309456926,16,1.0,186,7978,0.8,NaN
61,9.0,2.0,1.6390320104621547,16,1.0,191,9866,0.8,NaN
71,9.0,2.0,1.6379108448167707,16,1.0,196,11806,0.8,NaN
81,9.0,2.0,1.6370116870691687,16,1.0,200,13791,0.8,NaN
91,9.0,2.0,1.6362708199006866,16,1.0,204,15815,0.8,NaN
101,9.0,2.0,1.6356473760771775,16,1.0,207,17873,0.8,NaN
111,9.0,2.0,1.6351131350635286,16,1.0,210,19963,0.8,NaN
121,9.0,2.0,1.6346489395514612,16,1.0,213,22082,0.8,NaN
131,9.0,2.0,1.634241060078943,16,1.0,216,24227,0.8,NaN
141,9.0,2.0,1.6338788727491214,16,1.0,218,26397,0.8,NaN
151,9.0,2.0,1.6335546675269546,16,1.0,220,28589,0.8,NaN
161,9.0,2.0,1.633262273444682,16,1.0,222,30802,0.8,NaN
171,9.0,2.0,1.6329967701534978,16,1.0,224,33035,0.8,NaN
181,9.0,2.0,1.6327543380438139,16,1.0,226,35287,0.8,NaN
191,9.0,2.0,1.6325319548769597,16,1.0,228,37556,0.8,NaN
201,9.0,2.0,1.6323269343905853,16,1.0,229,39842,0.8,NaN
211,9.0,2.0,1.6321371575265375,16,1.0,231,42144,0.8,NaN
221,9.0,2.0,1.6319609383317946,16,1.0,232,44460,0.8,NaN
231,9.0,2.0,1.6317966520535165,16,1.0,234,46791,0.8,NaN
241,9.0,2.0,1.6316430155490953,16,1.0,235,49136,0.8,NaN
251,9.0,2.0,1.6314990466554256,16,1.0,236,51493,0.8,NaN
261,9.0,2.0,1.6313635847438386,16,1.0,238,53865,0.8,NaN
271,9.0,2.0,1.6312360124370506,16,1.0,239,56248,0.8,NaN
281,9.0,2.0,1.6311155269283981,16,1.0,240,58643,0.8,NaN
291,9.0,2.0,1.631001521365376,16,1.0,241,61049,0.8,NaN
301,9.0,2.0,1.6308934428295243,16,1.0,242,63466,0.8,NaN
311,9.0,2.0,1.6307907692272177,16,1.0,243,65894,0.8,NaN
321,9.0,2.0,1.6306931010652135,16,1.0,244,68332,0.8,NaN
331,9.0,2.0,1.6306000290196738,16,1.0,245,70780,0.8,NaN
341,9.0,2.0,1.630511197774919,16,1.0,246,73238,0.8,NaN
351,9.0,2.0,1.6304263298309953,16,1.0,247,75705,0.8,NaN
361,9.0,2.0,1.6303451278207073,16,1.0,248,78181,0.8,NaN
371,9.0,2.0,1.6302673332323832,16,1.0,249,80666,0.8,NaN
381,9.0,2.0,1.6301927368106082,16,1.0,250,83159,0.8,NaN
391,9.0,2.0,1.6301211211777948,16,1.0,251,85660,0.8,NaN
401,9.0,2.0,1.6300522622662421,16,1.0,251,88170,0.8,NaN
411,9.0,2.0,1.6299859840786515,16,1.0,252,90689,0.8,NaN
421,9.0,2.0,1.6299221753544813,16,1.0,253,93215,0.8,NaN
431,9.0,2.0,1.6298606832229432,16,1.0,254,95748,0.8,NaN
441,9.0,2.0,1.6298013686759025,16,1.0,254,98288,0.8,NaN
451,9.0,2.0,1.629744060800741,16,1.0,255,100837,0.8,NaN
461,9.0,2.0,1.6296887097448536,16,1.0,256,103392,0.8,NaN
471,9.0,2.0,1.6296351992092908,16,1.0,257,105953,0.8,NaN
481,9.0,2.0,1.6295833753835203,16,1.0,257,108523,0.8,NaN
491,9.0,2.0,1.6295332030598544,16,1.0,258,111099,0.8,NaN
501,9.0,2.0,1.6294846332972974,16,1.0,258,113679,0.8,NaN
511,9.0,2.0,1.6294374734261854,16,1.0,259,116269,0.8,NaN
521,9.0,2.0,1.6293917588750197,16,1.0,260,118863,0.8,NaN
531,9.0,2.0,1.6293473827831846,16,1.0,260,121463,0.8,NaN
541,9.0,2.0,1.6293042465836258,16,1.0,261,124071,0.8,NaN
551,9.0,2.0,1.6292623719778554,16,1.0,262,126682,0.8,NaN
561,9.0,2.0,1.6292216069360075,16,1.0,262,129302,0.8,NaN
571,9.0,2.0,1.6291819881067466,16,1.0,263,131925,0.8,NaN
581,9.0,2.0,1.6291434087208083,16,1.0,263,134555,0.8,NaN
591,9.0,2.0,1.6291058456771583,16,1.0,264,137190,0.8,NaN
601,9.0,2.0,1.6290692598806034,16,1.0,264,139830,0.8,NaN
611,9.0,2.0,1.6290335777640428,16,1.0,265,142477,0.8,NaN
621,9.0,2.0,1.6289988141755047,16,1.0,265,145127,0.8,NaN
631,9.0,2.0,1.6289648676662387,16,1.0,266,147785,0.8,NaN
641,9.0,2.0,1.6289317812511757,16,1.0,266,150445,0.8,NaN
651,9.0,2.0,1.6288994472196783,16,1.0,267,153113,0.8,NaN
661,9.0,2.0,1.6288679038831153,16,1.0,267,155783,0.8,NaN
671,9.0,2.0,1.6288370624921544,16,1.0,268,158460,0.8,NaN
681,9.0,2.0,1.6288069429071723,16,1.0,268,161140,0.8,NaN
691,9.0,2.0,1.6287774838027775,16,1.0,269,163826,0.8,NaN
701,9.0,2.0,1.6287486822986241,16,1.0,269,166516,0.8,NaN
711,9.0,2.0,1.628720514426375,16,1.0,270,169210,0.8,NaN
721,9.0,2.0,1.6286929353844017,16,1.0,270,171910,0.8,NaN
731,9.0,2.0,1.6286659645820865,16,1.0,271,174612,0.8,NaN
741,9.0,2.0,1.6286395237014168,16,1.0,271,177322,0.8,NaN
751,9.0,2.0,1.6286136673217186,16,1.0,271,180032,0.8,NaN
761,9.0,2.0,1.6285882928172526,16,1.0,272,182751,0.8,NaN
771,9.0,2.0,1.6285634573517587,16,1.0,272,185471,0.8,NaN
781,9.0,2.0,1.628539103390322,16,1.0,273,188196,0.8,NaN
791,9.0,2.0,1.628515219141342,16,1.0,273,190926,0.8,NaN
801,9.0,2.0,1.6284918314157235,16,1.0,273,193656,0.8,NaN
811,9.0,2.0,1.628468836813208,16,1.0,274,196396,0.8,NaN
821,9.0,2.0,1.628446310119257,16,1.0,274,199136,0.8,NaN
831,9.0,2.0,1.628424191180603,16,1.0,275,201881,0.8,NaN
841,9.0,2.0,1.6284024702570723,16,1.0,275,204631,0.8,NaN
851,9.0,2.0,1.6283811726912847,16,1.0,275,207381,0.8,NaN
861,9.0,2.0,1.6283602189787725,16,1.0,276,210140,0.8,NaN
871,9.0,2.0,1.6283396584820171,16,1.0,276,212900,0.8,NaN
881,9.0,2.0,1.6283194772942642,16,1.0,277,215661,0.8,NaN
