episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples
1,9.0,2.0,1.511361291963575,16,1.0,71,71
11,3.5098128671749897,0.7461238398495891,0.47661620699523716,16,1.0,138,1255
21,2.4483874356056226,0.5384747493052993,0.3364274573062429,16,1.0,158,2752
31,1.9864060909913694,0.43111508563750767,0.2702471464966108,16,1.0,170,4401
41,1.7306648922617,0.3796816569566502,0.23311494655048537,16,1.0,179,6151
51,1.5147291459917396,0.3318033333281194,0.20667877242602223,16,1.0,186,7978
61,1.3677345367060567,0.30102759054230027,0.1876742571474035,16,1.0,191,9866
71,1.2738853358122035,0.2807569774451028,0.17320547629575322,16,1.0,196,11806
81,1.1841541407138534,0.2611131265021578,0.16121111194013507,16,1.0,200,13791
91,1.1223455495941215,0.2470790312107472,0.15173736316670125,16,1.0,204,15815
101,1.0525206470060287,0.2326182501236294,0.14366865036580306,16,1.0,207,17873
111,1.0021975460089276,0.22161803190083745,0.13655825042364972,16,1.0,210,19963
121,0.9515612988241269,0.21053045497982803,0.1302370689044924,16,1.0,213,22082
131,0.9144716669933259,0.20223531885580465,0.12473043969931036,16,1.0,216,24227
141,0.8754091580838392,0.19368088453796084,0.11985410515631051,16,1.0,218,26397
151,0.833342287385882,0.18469844805680513,0.11525292622037765,16,1.0,220,28589
161,0.8041278234701955,0.1780955638954854,0.11138686676495234,16,1.0,222,30802
171,0.7828614225150283,0.17326901370724354,0.10805663984924745,16,1.0,224,33035
181,0.7599573525265839,0.16833239907576042,0.10479562539367826,16,1.0,226,35287
191,0.7411336068237037,0.16427483747246577,0.10195061342787169,16,1.0,228,37556
201,0.7223013373684176,0.15992955615994345,0.09917319715305153,16,1.0,229,39842
211,0.7029621468710083,0.15567964335653944,0.09667373791328443,16,1.0,231,42144
221,0.683248095337835,0.15140936236352928,0.09431721519566648,16,1.0,232,44460
231,0.6649118862706983,0.14736945210165914,0.09211960022115363,16,1.0,234,46791
241,0.6506791821186392,0.14428793281368057,0.0900456855175453,16,1.0,235,49136
251,0.6368944796366306,0.141322926822703,0.0881358627717694,16,1.0,236,51493
261,0.6241027760350116,0.1385422647080316,0.08630415761310185,16,1.0,238,53865
271,0.6108446728609459,0.13560566472957658,0.0845296757112928,16,1.0,239,56248
281,0.5986310734008817,0.13290002543408988,0.0829350863657051,16,1.0,240,58643
291,0.589174692596022,0.1306417923520994,0.08147275238028741,16,1.0,241,61049
301,0.5778178438065129,0.12830772019148762,0.08001379400459642,16,1.0,242,63466
311,0.5668794579712209,0.12562996805588975,0.07860717073590051,16,1.0,243,65894
321,0.5577286438551164,0.12387081878202241,0.07731662661796322,16,1.0,244,68332
331,0.5483654083504872,0.12167967471431357,0.07603734665846007,16,1.0,245,70780
341,0.5395507549022657,0.1197297872211297,0.07483973148020565,16,1.0,246,73238
351,0.5329730873532134,0.1182299593265791,0.07371946415581192,16,1.0,247,75705
361,0.5255453176125623,0.11654574895600933,0.07264241200755592,16,1.0,248,78181
371,0.5179425963299277,0.11493496966168,0.07160916964050645,16,1.0,249,80666
381,0.5112057489797955,0.11347057545675732,0.07065309758776799,16,1.0,250,83159
391,0.5040035752231002,0.11181347504938838,0.06965797121022455,16,1.0,251,85660
401,0.4964121669453668,0.11019465934588313,0.0687047692405283,16,1.0,251,88170
411,0.48906745704255533,0.10855661737031694,0.06780065235427321,16,1.0,252,90689
421,0.4823488575901002,0.10705806256222132,0.06691965996082093,16,1.0,253,93215
431,0.4774252043499237,0.10592603212900036,0.06609624192854659,16,1.0,254,95748
441,0.4717847642962898,0.10474968193543246,0.0653153841683747,16,1.0,254,98288
451,0.46665824739997397,0.10358416974507852,0.06455678043305241,16,1.0,255,100837
461,0.4618315597721473,0.1024680302679341,0.06381042302308251,16,1.0,256,103392
471,0.4568277200237143,0.10138893174169704,0.0630922943458289,16,1.0,257,105953
481,0.451193628783375,0.10016823417044693,0.06242159925462046,16,1.0,257,108523
491,0.44550522101658346,0.09894180707117553,0.06172733923356177,16,1.0,258,111099
501,0.4403677914285189,0.09775331812677625,0.061055308615165504,16,1.0,258,113679
511,0.4354124742894091,0.09666372167743009,0.060428626815608295,16,1.0,259,116269
521,0.430903460060765,0.0956800074225303,0.05982231023971382,16,1.0,260,118863
531,0.4266049313553951,0.09465338338923614,0.05920081721731644,16,1.0,260,121463
541,0.4229240385635611,0.09387524801917332,0.058632668901161415,16,1.0,261,124071
551,0.4191205846159354,0.09302608110057474,0.05808212356129139,16,1.0,262,126682
561,0.41499448551367824,0.09213289046027692,0.05754640658406831,16,1.0,262,129302
571,0.4121542191880447,0.0915102264822569,0.057030347732788304,16,1.0,263,131925
581,0.40873212432964406,0.09073891840195837,0.05650155494539577,16,1.0,263,134555
591,0.40466226858407117,0.08980607294046296,0.05597702137564627,16,1.0,264,137190
601,0.400991179863211,0.089023986578627,0.05548646316512347,16,1.0,264,139830
611,0.3974762473455772,0.08825112491581633,0.055000735746151067,16,1.0,265,142477
621,0.3941603516278576,0.08751050389144753,0.05453154695299471,16,1.0,265,145127
631,0.39070242689257284,0.08673308767537374,0.054066536443079044,16,1.0,266,147785
641,0.38711716065555807,0.08597155797487983,0.0536035051599213,16,1.0,266,150445
651,0.38399172731180364,0.08527838849277489,0.05316391167334525,16,1.0,267,153113
661,0.38134159287571096,0.08465948445422515,0.05274385878074662,16,1.0,267,155783
671,0.3784964428814276,0.08400385045910776,0.05233730742254393,16,1.0,268,158460
