episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples
1,25.0,2.0,2.0,16,1.0,5,5
11,25.0,2.0,1.2560369374589564,16,1.0,9,84
21,22.973084639973216,1.7469889377582577,0.8955802340200671,16,1.0,10,182
31,17.50874532789227,1.32654535855338,0.7245129364334304,16,1.0,11,291
41,14.013845502521418,1.1211076402017135,0.624948628761151,16,1.0,12,404
51,11.798763452647112,0.943901076211769,0.5549731046684162,16,1.0,12,524
61,10.61769320446389,0.8494154563571112,0.5077847777734616,16,1.0,12,644
71,10.068554184441515,0.7988504270695912,0.4658038988433885,16,1.0,13,772
81,9.392946803177864,0.7514357442542291,0.435525699623151,16,1.0,13,902
91,8.531495113775005,0.67101662959907,0.4099098741184666,16,1.0,13,1032
101,8.080348534657746,0.639917532233399,0.388300042236838,16,1.0,13,1162
111,7.560431091011126,0.596986150913525,0.36918244534911926,16,1.0,14,1299
121,7.190833329728981,0.5752666663783185,0.35321582901673554,16,1.0,14,1439
131,6.873618505352052,0.5440860968012494,0.33869629996207634,16,1.0,14,1579
141,6.619013095045542,0.5277868889427217,0.3267064544909663,16,1.0,14,1719
151,6.372981841108024,0.5083020623200952,0.31521340003617165,16,1.0,14,1859
161,6.278765083766336,0.4979465359931539,0.30538446337878344,16,1.0,14,1999
171,6.10297522598139,0.48557357724592215,0.29683340654492657,16,1.0,14,2139
181,5.9575233011944295,0.4766018640955544,0.2882395691534043,16,1.0,15,2288
191,5.779777056968741,0.4623821645574993,0.28011201239925754,16,1.0,15,2438
201,5.630897352483986,0.44943700934956576,0.272734490309806,16,1.0,15,2588
211,5.469804737609705,0.43664114530467,0.26615801597272515,16,1.0,15,2738
221,5.3665268273382605,0.4275528344585468,0.2597991096613285,16,1.0,15,2888
231,5.2074208182581865,0.41498597986919333,0.25379906021820836,16,1.0,15,3038
241,5.099862643296162,0.407989011463693,0.24842865962041347,16,1.0,15,3188
251,4.981448791806553,0.39851590334452425,0.24320672595903386,16,1.0,15,3338
261,4.871393222664889,0.3890596229511623,0.2380962087385816,16,1.0,15,3488
271,4.791819572546782,0.38272706771924947,0.2335456081693608,16,1.0,15,3638
281,4.67986759833643,0.3743894078669144,0.22913797234386785,16,1.0,15,3788
291,4.602871717782495,0.3676856584799714,0.22485113555889796,16,1.0,16,3944
301,4.542792653301613,0.36238224526583723,0.22080593484695402,16,1.0,16,4104
311,4.485146273126383,0.35831072794085234,0.21736442659716781,16,1.0,16,4264
321,4.41179078592684,0.35199461929753234,0.21373392991961498,16,1.0,16,4424
331,4.330857120932708,0.34557416855077316,0.2103929166018933,16,1.0,16,4584
341,4.2491826258089445,0.3395128466960518,0.20700479019553503,16,1.0,16,4744
351,4.202471497269809,0.3357905407889078,0.20376109465186257,16,1.0,16,4904
361,4.162295300343643,0.33298362402749143,0.20089288832472996,16,1.0,16,5064
371,4.108998838243825,0.3283408628818045,0.1981068035785405,16,1.0,16,5224
381,4.04872875999271,0.32353666959039507,0.1954888211040429,16,1.0,16,5384
391,3.991188078129155,0.3182620191117417,0.19295209161382595,16,1.0,16,5544
401,3.907533485218388,0.3119577222299132,0.19043218276470694,16,1.0,16,5704
411,3.8560580970596643,0.30817498192799814,0.18805301367398983,16,1.0,16,5864
421,3.802966437135644,0.3039410081569015,0.18561590823663598,16,1.0,16,6024
431,3.7592638999446355,0.30074111199557085,0.18329400409318922,16,1.0,16,6184
441,3.7205757153825556,0.2973696877678721,0.18131982076221956,16,1.0,16,6344
451,3.676446237296941,0.29384961861486136,0.17912328966776803,16,1.0,16,6504
461,3.630735382859953,0.29045883062879624,0.17718235343471256,16,1.0,16,6664
471,3.5898687550987267,0.28718950040789815,0.17526001050100423,16,1.0,17,6825
481,3.550430691871293,0.2835587801931312,0.17326400165781183,16,1.0,17,6995
491,3.509462218063785,0.280298514257213,0.17145648336299973,16,1.0,17,7165
501,3.46167844563826,0.27649534108839935,0.16961596251169941,16,1.0,17,7335
511,3.4345183517274087,0.27454715603024515,0.16791064292278302,16,1.0,17,7505
521,3.392436782875187,0.27139494263001496,0.16616573946496246,16,1.0,17,7675
531,3.351952164574073,0.2681561731659258,0.16445259801326165,16,1.0,17,7845
541,3.3177594889254056,0.26522874894637916,0.16271318354199285,16,1.0,17,8015
551,3.284651565478596,0.2627721252382877,0.16113864889363866,16,1.0,17,8185
561,3.2616355092595697,0.26056747930471075,0.15964063176205232,16,1.0,17,8355
571,3.22805234245375,0.2580681867622153,0.1580322838716474,16,1.0,17,8525
581,3.1891662930029088,0.2549639477089202,0.15658939532314056,16,1.0,17,8695
591,3.159929111874793,0.25279432894998344,0.15514551805357785,16,1.0,17,8865
601,3.131526934305689,0.2505221547444551,0.15377431835428887,16,1.0,17,9035
611,3.1039202666079615,0.24800313709211372,0.15244515801562905,16,1.0,17,9205
621,3.0808625236184595,0.2461657756774154,0.15117832000744522,16,1.0,17,9375
631,3.0546370992478775,0.2442232694627674,0.14994007559292125,16,1.0,17,9545
641,3.0345213646138935,0.24247271586006752,0.14868010147227254,16,1.0,17,9715
651,3.0059986746667215,0.2403395314314791,0.14746074943126536,16,1.0,17,9885
661,2.9937848074542206,0.23936422403835836,0.14629419009092842,16,1.0,17,10055
671,2.9732083279304384,0.2375857895047654,0.14512820119230066,16,1.0,17,10225
681,2.9481080595741957,0.235716682214798,0.14400388422897123,16,1.0,17,10395
691,2.9220619315076317,0.23338072775857363,0.14286214050229115,16,1.0,17,10565
701,2.8967325988314143,0.23136483681302983,0.14182776597933786,16,1.0,17,10735
711,2.8797174095327076,0.23001053460337867,0.14082148913336348,16,1.0,17,10905
721,2.8570178237390698,0.22832271292424272,0.1398306796854881,16,1.0,17,11075
