episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples
1,9.0,2.0,1.5555277060123314,16,1.0,71,71
11,3.5098128671749897,0.7358532234606314,0.46857095358693973,16,1.0,138,1255
21,2.492418054352762,0.5403245274441055,0.3338844799837326,16,1.0,158,2752
31,2.0041768965271314,0.43111508563750767,0.27020569266532274,16,1.0,170,4401
41,1.6847523354011147,0.37154907530788317,0.23272484300712512,16,1.0,179,6151
51,1.5128897390171314,0.33298362402749143,0.206935754259001,16,1.0,186,7978
61,1.3664052819991377,0.30131493967440054,0.18831349829840757,16,1.0,191,9866
71,1.2717674223782138,0.2805274479239882,0.17394137767486292,16,1.0,196,11806
81,1.1766551206308966,0.26002543985366333,0.16196225293182404,16,1.0,200,13791
91,1.1153176052019993,0.24631724056638282,0.15242706264774655,16,1.0,204,15815
101,1.0456462919620013,0.23111671655711416,0.14383802337463808,16,1.0,207,17873
111,0.9943677738648421,0.2202228285372477,0.13674910347156144,16,1.0,210,19963
121,0.949049769381412,0.20979758397892426,0.13045075905696257,16,1.0,213,22082
131,0.905353806662717,0.2007921247830662,0.12510598463461794,16,1.0,216,24227
141,0.8776771611235757,0.19417788399252708,0.12035594925878448,16,1.0,218,26397
151,0.8466462775949282,0.1873109454259686,0.1159793684361164,16,1.0,220,28589
161,0.8170227230075994,0.18127321498826598,0.11200979053650215,16,1.0,222,30802
171,0.7918560490937555,0.17529368349655225,0.10852015065510047,16,1.0,224,33035
181,0.766859439687654,0.16999053219900281,0.10527613644296978,16,1.0,226,35287
191,0.7451676275954261,0.16516400500551479,0.10231626454997018,16,1.0,228,37556
201,0.7242407184939745,0.16031671415136473,0.0995198868056353,16,1.0,229,39842
211,0.7003990675758899,0.15525644297716246,0.09685051465271773,16,1.0,231,42144
221,0.6853196460981361,0.1516043812021367,0.09453678190206663,16,1.0,232,44460
231,0.6677688408077551,0.14811993069487325,0.09234337766018087,16,1.0,234,46791
241,0.6500491717334891,0.14428793281368057,0.0902555254193623,16,1.0,235,49136
251,0.6377217465576087,0.1414535495808876,0.08833490269563629,16,1.0,236,51493
261,0.6253233150713406,0.13878794160081842,0.08651867774189019,16,1.0,238,53865
271,0.6134461257461173,0.1361123501736657,0.08478083698719295,16,1.0,239,56248
281,0.6014643864834242,0.13350591260578015,0.08314748936568739,16,1.0,240,58643
291,0.5923367585345571,0.13138102762241946,0.08158986683320994,16,1.0,241,61049
301,0.581939794597534,0.12908412458818994,0.08011461526642243,16,1.0,242,63466
311,0.5725187030693255,0.12696515625997676,0.07875561910788136,16,1.0,243,65894
321,0.5618082704354155,0.12458262184433114,0.07743034754929108,16,1.0,244,68332
331,0.5526827761849757,0.1225679862196975,0.07620039701979028,16,1.0,245,70780
341,0.5445118540328631,0.12085909410490649,0.07502790348741316,16,1.0,246,73238
351,0.5350694058019354,0.11870825374895964,0.07388275887867146,16,1.0,247,75705
361,0.5270307048515661,0.116945348976445,0.07282514712453415,16,1.0,248,78181
371,0.5192991296718864,0.11523507006317033,0.07175668662622321,16,1.0,249,80666
381,0.5116187342535871,0.11357509914642125,0.07073321169226608,16,1.0,250,83159
391,0.5050777170958802,0.11212622534223543,0.069777359443196,16,1.0,251,85660
401,0.49879335878783626,0.11068579529378594,0.06886210097514582,16,1.0,251,88170
411,0.49264422156295506,0.10927896358564412,0.0679521237141642,16,1.0,252,90689
421,0.486173674128797,0.10779358280059027,0.06710062250988183,16,1.0,253,93215
431,0.4802053747034646,0.10659426187065316,0.066274675672812,16,1.0,254,95748
441,0.4737187390423118,0.10515773498990309,0.0654471524374462,16,1.0,254,98288
451,0.468302833715772,0.1039384280884436,0.06467248992431157,16,1.0,255,100837
461,0.46256059195524707,0.10268632258587881,0.0639137338456843,16,1.0,256,103392
471,0.45674507508569445,0.10140723464277107,0.0631877172103278,16,1.0,257,105953
481,0.4515916734701604,0.10022111566848105,0.062483937509416686,16,1.0,257,108523
491,0.44627112343855474,0.09901813888352458,0.06178488119281535,16,1.0,258,111099
501,0.4408472903607105,0.09782679633086315,0.06112596775176531,16,1.0,258,113679
511,0.435448010789797,0.0966715943800834,0.06047628593037893,16,1.0,259,116269
521,0.43107549725073785,0.09565714964085814,0.059855728888086095,16,1.0,260,118863
531,0.4267716189851759,0.09473453546581509,0.059274562738625414,16,1.0,260,121463
541,0.42205153878225615,0.09367492639391839,0.058671420296653926,16,1.0,261,124071
551,0.4176166065435807,0.09265176410990614,0.05809667832740303,16,1.0,262,126682
561,0.41338551275018875,0.09180316370587754,0.057542254059325795,16,1.0,262,129302
571,0.4099902017505323,0.09103064097278434,0.05701253501855626,16,1.0,263,131925
581,0.4072844132128476,0.09039270553793674,0.05649820059184855,16,1.0,263,134555
591,0.40384667330626295,0.08966904353577196,0.055994107667942036,16,1.0,264,137190
601,0.4002531040475299,0.08883631610923876,0.05548884316818065,16,1.0,264,139830
611,0.3968113474155202,0.08808026887271334,0.05499532698594554,16,1.0,265,142477
621,0.3935902629064999,0.08737272867795813,0.05453184300896294,16,1.0,265,145127
631,0.39039965464576803,0.08667718931274297,0.0540839549067385,16,1.0,266,147785
641,0.38723991901604454,0.08598244483467501,0.053643315056606945,16,1.0,266,150445
651,0.38411139261911864,0.08526777967483831,0.05320483635516831,16,1.0,267,153113
661,0.38094434877896716,0.08460768211541478,0.05277665293731891,16,1.0,267,155783
671,0.3779035328569037,0.08388772541198843,0.05235404711837323,16,1.0,268,158460
681,0.37460540364459227,0.08318669969113268,0.05194075030990976,16,1.0,268,161140
691,0.37184934581605383,0.08255163529141656,0.051553742244800124,16,1.0,269,163826
701,0.3688184624275598,0.08191754949167825,0.05115718787067205,16,1.0,269,166516
711,0.36594617118586015,0.08128484696357595,0.05077033222020769,16,1.0,270,169210
721,0.3639082102667891,0.08081019749595642,0.050402894120275335,16,1.0,270,171910
731,0.36123247263541647,0.08020379986970268,0.050041163783936755,16,1.0,271,174612
741,0.3582901658060057,0.07956026014827,0.04967554967932754,16,1.0,271,177322
751,0.3556472460664231,0.07898682273173449,0.04933006138202374,16,1.0,271,180032
761,0.353266917278024,0.07843434078319707,0.048986803650912264,16,1.0,272,182751
771,0.35066598128277715,0.07786990390425104,0.04863942178784648,16,1.0,272,185471
781,0.34798384596622894,0.07724020940621017,0.04829494335533291,16,1.0,273,188196
791,0.34541660648224715,0.07670216078385714,0.04797705316483378,16,1.0,273,190926
801,0.34299181298813297,0.07617572421025351,0.04766400110062687,16,1.0,273,193656
811,0.3407675208473758,0.0756932773765752,0.04735972225976022,16,1.0,274,196396
821,0.3382824514503746,0.07513109880501936,0.04706539833520751,16,1.0,274,199136
831,0.33656218785041125,0.07474599289468824,0.04676221399806983,16,1.0,275,201881
841,0.3343416465846703,0.07425347792815214,0.046457875440221036,16,1.0,275,204631
851,0.33271374998162256,0.07389578343242512,0.046182623529081514,16,1.0,275,207381
861,0.3305715160726581,0.0734139221551218,0.04589040550380954,16,1.0,276,210140
871,0.3285159733151695,0.07294829404413679,0.045605467585071814,16,1.0,276,212900
881,0.3263135246086206,0.0724822774270224,0.04532650833414436,16,1.0,277,215661
891,0.324621252680928,0.07210673287289643,0.04506992348763808,16,1.0,277,218431
901,0.3228314272205284,0.07170953324557397,0.04479831274686292,16,1.0,277,221201
911,0.3209088734102859,0.07126778056196022,0.04453426523018797,16,1.0,278,223974
921,0.3190619212801889,0.07085816059039014,0.044278691277487486,16,1.0,278,226754
931,0.3174318515175908,0.07049371724212379,0.044025778939538913,16,1.0,278,229534
941,0.31554341956593146,0.07008924345153206,0.04377600195059715,16,1.0,279,232319
951,0.3137025138735381,0.06967229582926542,0.043526484445154674,16,1.0,279,235109
961,0.3123187766905273,0.06935702945856118,0.04329049482777374,16,1.0,279,237899
971,0.31062191224408,0.06897257991116305,0.04305965022011313,16,1.0,280,240694
981,0.3087847874416954,0.06858939716150164,0.04281859631575564,16,1.0,280,243494
991,0.3071234837130795,0.06820493862765077,0.042586734725145514,16,1.0,280,246294
1001,0.3055015973360364,0.06786594542454545,0.042365654309058295,16,1.0,281,249098
1011,0.30399808578594456,0.06750418512192675,0.04214275040071338,16,1.0,281,251908
