episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples
1,9.0,2.0,1.5380479544921621,16,1.0,71,71
11,4.016879648430935,0.8122995026165166,0.48957082146154635,16,1.0,138,1255
21,2.4569940457424417,0.5226916492210704,0.3337865093101761,16,1.0,158,2752
31,1.9279555643809205,0.4207016642046662,0.2703837139830869,16,1.0,170,4401
41,1.6873462772965828,0.3704320381507068,0.2328039127131361,16,1.0,179,6151
51,1.4984263081237115,0.33141285589299135,0.20656370277637223,16,1.0,186,7978
61,1.3520497481424476,0.29764605723060444,0.18777322287986228,16,1.0,191,9866
71,1.2432451584486905,0.27412012174715444,0.17298404977727064,16,1.0,196,11806
81,1.1652841098356805,0.25684676316756705,0.16127090740530012,16,1.0,200,13791
91,1.088540962829618,0.2407614018455172,0.15139046882833893,16,1.0,204,15815
101,1.03614705182715,0.22904123820489494,0.14330612384167019,16,1.0,207,17873
111,0.979273063393157,0.21660065174749127,0.13616112967552546,16,1.0,210,19963
121,0.9312522401647143,0.20582066421419384,0.1299498610225779,16,1.0,213,22082
131,0.8986136794203274,0.1984576526388455,0.12460101522822048,16,1.0,216,24227
141,0.8573047178207828,0.18984476824123778,0.11975553806638495,16,1.0,218,26397
151,0.8262611000414879,0.18278359891525897,0.1151349229081369,16,1.0,220,28589
161,0.7985194281265088,0.17702166876524472,0.11128893633501494,16,1.0,222,30802
171,0.774839287345376,0.17174979231848947,0.1077981817646042,16,1.0,224,33035
181,0.7514505911225096,0.1666364762216005,0.10450175844232797,16,1.0,226,35287
191,0.731800120797142,0.1620963731236789,0.10159906054277183,16,1.0,228,37556
201,0.7096679214312973,0.1575198433916176,0.09891086609970165,16,1.0,229,39842
211,0.6908915463203983,0.15326103870774968,0.09628433787415,16,1.0,231,42144
221,0.6737419971279537,0.14937731415165348,0.09394457745307117,16,1.0,232,44460
231,0.6576086274588362,0.14567359575165134,0.09180208317168179,16,1.0,234,46791
241,0.6410650997509939,0.14213899237286418,0.08973291667182615,16,1.0,235,49136
251,0.6255460425406423,0.13876331195624103,0.08785555134660873,16,1.0,236,51493
261,0.6136557571103873,0.13601978066844528,0.086049066957535,16,1.0,238,53865
271,0.601858521711204,0.1335277130964721,0.08434155425242844,16,1.0,239,56248
281,0.5892669351258695,0.13062144505528783,0.08269177558765965,16,1.0,240,58643
291,0.5790360103929019,0.12850043867623495,0.08122400835941539,16,1.0,241,61049
301,0.5697599987148859,0.12631943544262406,0.07975892024905702,16,1.0,242,63466
