episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples
1,25.0,1.5801569082213787,1.2806954166563096,24,1.0,106,106
11,5.0719769717961185,0.37554608977082743,0.34440893085650587,24,1.0,206,1881
21,3.3648262604971717,0.26222316382377314,0.2403056196459887,24,1.0,236,4124
31,2.712588995884929,0.21227843376631528,0.19363717198699126,24,1.0,255,6593
41,2.2859594078298144,0.17931342873709022,0.16591082035417165,24,1.0,268,9215
51,2.006408940588587,0.15897264144623538,0.1471380296279669,24,1.0,278,11950
61,1.8192860605955157,0.14414835754966793,0.13335962974169105,24,1.0,287,14781
71,1.6821577411828714,0.13341942215694572,0.12273405722057228,24,1.0,294,17689
81,1.5617698813385468,0.1243348360185901,0.11419702161147255,24,1.0,300,20664
91,1.467264076045896,0.11665494503604355,0.10716880863173313,24,1.0,306,23698
101,1.3873993464808863,0.11038224429390084,0.10124451048711273,24,1.0,311,26783
111,1.3126573262826347,0.10453747751562949,0.09616673022706455,24,1.0,315,29916
121,1.253896643138191,0.09981829597245986,0.09176282033161305,24,1.0,319,33092
131,1.1999603251908453,0.09552404452467873,0.08788603053092964,24,1.0,323,36307
141,1.1511881547696403,0.09171725207375125,0.08444211311951816,24,1.0,327,39559
151,1.107369779566023,0.0882216837972646,0.08135746332861642,24,1.0,330,42844
161,1.070278053742562,0.08531142376666273,0.07858278459831836,24,1.0,333,46161
171,1.035344489397086,0.08264644344041007,0.07606429870126773,24,1.0,336,49508
181,1.0051492936512147,0.08012781813939873,0.07375908526880075,24,1.0,339,52883
191,0.9750504099358638,0.07776801421363327,0.07164562614680296,24,1.0,341,56284
201,0.9465344020450541,0.07547028038063405,0.06969348486702089,24,1.0,344,59711
211,0.921541985392616,0.07349737900725702,0.06788931479890943,24,1.0,346,63161
221,0.8978894448887423,0.0716631705664391,0.06621504463378933,24,1.0,348,66633
231,0.8756710436775142,0.06987168190072328,0.06465125934300019,24,1.0,350,70127
241,0.8554323630132862,0.06827036840605,0.0631903312856658,24,1.0,352,73642
251,0.8362994334026758,0.0667740547004552,0.06181869433929132,24,1.0,354,77177
261,0.8197814759407793,0.06543441069992044,0.060532629213084804,24,1.0,356,80731
271,0.8036786543133978,0.06418162663316877,0.05932145896073945,24,1.0,358,84303
281,0.7886234613350579,0.0630029452626122,0.058176216290421995,24,1.0,360,87893
