episode,deltaT,maxRadius,avgRadius,numUnknownSlots,coverage,numSamples
1,9.0,2.0,1.7044923179400293,24,1.0,76
11,9.0,2.0,0.9523883799685061,24,1.0,179
21,9.0,2.0,0.8670964892871349,24,1.0,203
31,9.0,2.0,0.8284442999702807,24,1.0,216
41,9.0,2.0,0.80575656859645,24,1.0,226
51,9.0,2.0,0.7904012994893588,24,1.0,233
61,9.0,2.0,0.7787924658703514,24,1.0,239
71,9.0,2.0,0.7701292510221857,24,1.0,244
81,9.0,2.0,0.7630524761163179,24,1.0,248
91,9.0,2.0,0.7573128703141302,24,1.0,252
101,9.0,2.0,0.7524786758197005,24,1.0,255
111,9.0,2.0,0.7484660355808815,24,1.0,258
121,9.0,2.0,0.744663491623184,24,1.0,261
131,9.0,2.0,0.7415291143871965,24,1.0,263
141,9.0,2.0,0.7386445674278731,24,1.0,265
151,9.0,2.0,0.7361251106476421,24,1.0,268
161,9.0,2.0,0.7338404918513253,24,1.0,270
171,9.0,2.0,0.7317556869037274,24,1.0,271
181,9.0,2.0,0.7298431794885785,24,1.0,273
191,9.0,2.0,0.7280930805380733,24,1.0,275
201,9.0,2.0,0.7264368025637928,24,1.0,276
211,9.0,2.0,0.7249141687516002,24,1.0,278
221,9.0,2.0,0.7235209635811501,24,1.0,279
231,9.0,2.0,0.7222103582778937,24,1.0,281
241,9.0,2.0,0.7209636191904569,24,1.0,282
251,9.0,2.0,0.7198299125908694,24,1.0,283
261,9.0,2.0,0.7187675976004227,24,1.0,284
271,9.0,2.0,0.7177519795841398,24,1.0,286
281,9.0,2.0,0.7167788498437847,24,1.0,287
291,9.0,2.0,0.715873124780813,24,1.0,288
301,9.0,2.0,0.7150052000106669,24,1.0,289
311,9.0,2.0,0.714222717396067,24,1.0,290
321,9.0,2.0,0.7134179324864321,24,1.0,291
331,9.0,2.0,0.7126777596053245,24,1.0,292
341,9.0,2.0,0.7119652723406406,24,1.0,292
351,9.0,2.0,0.7112871679315433,24,1.0,293
361,9.0,2.0,0.7106355510808514,24,1.0,294
371,9.0,2.0,0.7100038893655373,24,1.0,295
381,9.0,2.0,0.7094257009691978,24,1.0,296
391,9.0,2.0,0.7088605402877524,24,1.0,297
401,9.0,2.0,0.7083124181060096,24,1.0,297
411,9.0,2.0,0.7077758863048728,24,1.0,298
421,9.0,2.0,0.7072539136215732,24,1.0,299
431,9.0,2.0,0.7067624430856108,24,1.0,300
441,9.0,2.0,0.7062925276135884,24,1.0,300
451,9.0,2.0,0.705827103290757,24,1.0,301
461,9.0,2.0,0.7053853908039351,24,1.0,302
471,9.0,2.0,0.7049517107773061,24,1.0,302
481,9.0,2.0,0.7045362232529221,24,1.0,303
491,9.0,2.0,0.704130835335471,24,1.0,303
501,9.0,2.0,0.7037219979446664,24,1.0,304
511,9.0,2.0,0.7033452702382338,24,1.0,305
521,9.0,2.0,0.70297494378231,24,1.0,305
531,9.0,2.0,0.7026185227748161,24,1.0,306
541,9.0,2.0,0.7022805220414781,24,1.0,306
551,9.0,2.0,0.7019387346356852,24,1.0,307
561,9.0,2.0,0.7016110487903813,24,1.0,307
571,9.0,2.0,0.7012919879476393,24,1.0,308
581,9.0,2.0,0.7009797206735424,24,1.0,308
591,9.0,2.0,0.7006739931123941,24,1.0,309
601,9.0,2.0,0.7003801190728677,24,1.0,309
611,9.0,2.0,0.7000920699232429,24,1.0,310
621,9.0,2.0,0.6998150172886811,24,1.0,310
631,9.0,2.0,0.6995374485626332,24,1.0,311
641,9.0,2.0,0.6992792373840336,24,1.0,311
651,9.0,2.0,0.6990160032871652,24,1.0,312
661,9.0,2.0,0.6987654201056269,24,1.0,312
