episode,deltaT,maxRadius,avgRadius,numUnknownSlots,coverage,numSamples
1,320.0,2.0,1.632126594884237,16,1.0,51
2,320.0,1.5429362109218383,1.1418844880081374,16,1.0,73
3,246.86979374749413,1.209865076683592,0.9055863396022632,16,1.0,85
4,193.5784122693747,1.1020257676248673,0.7705848787093239,16,1.0,93
5,176.32412281997875,1.0061156855345867,0.6808662724918152,16,1.0,99
6,160.97850968553388,0.8834248009798537,0.6136896963626278,16,1.0,104
7,141.34796815677657,0.8265084521466425,0.5633830452450885,16,1.0,108
8,132.2413523434628,0.7461238398495891,0.5220068781063412,16,1.0,112
9,119.37981437593425,0.6864975114136961,0.4881378399104488,16,1.0,115
10,109.83960182619137,0.6367404158933322,0.45988671198606446,16,1.0,117
