episode,deltaT,maxRadius,avgRadius,numUnknownSlots,coverage,numSamples
1,36.0,1.4418572412914858,1.1820011922711036,24,1.0,106
2,25.953430343246744,0.9392166467910646,0.8181798407719129,24,1.0,132
3,16.905899642239163,0.7833147754148788,0.6569518211286755,24,1.0,149
4,14.099665957467819,0.6512181532916831,0.5603422490041895,24,1.0,161
5,11.721926759250296,0.5652575742557654,0.49507954577688623,24,1.0,171
6,10.174636336603777,0.5116803943611568,0.447367370638694,24,1.0,179
7,9.210247098500822,0.47152608224968684,0.41071786808322014,24,1.0,186
8,8.487469480494363,0.4355915662110507,0.3812385622667865,24,1.0,192
9,7.840648191798913,0.4057581577436895,0.35699569591124664,24,1.0,197
10,7.303646839386412,0.37879949482202746,0.3365728624230557,24,1.0,202
11,6.818390906796495,0.36288537384442293,0.31929091398001713,24,1.0,206
12,6.531936729199613,0.3439491769806798,0.3041614877276935,24,1.0,210
13,6.191085185652236,0.3271374807570179,0.2908997576228964,24,1.0,214
14,5.8884746536263215,0.31328263820217217,0.27913078855448437,24,1.0,217
15,5.639087487639099,0.3011317705064262,0.2685979387541671,24,1.0,221
16,5.420371869115671,0.2913097650671965,0.259090591177367,24,1.0,224
17,5.243575771209537,0.28308817137092485,0.25047084317246765,24,1.0,226
18,5.095587084676647,0.2726036745439861,0.24265910671362087,24,1.0,229
19,4.90686614179175,0.2629112208814609,0.23544619481982296,24,1.0,232
20,4.7324019758662965,0.25376698560745287,0.22880958122429132,24,1.0,234
21,4.567805740934151,0.24724692593347442,0.22270233608585946,24,1.0,236
22,4.4504446668025395,0.24228865543816025,0.2170511663285265,24,1.0,238
23,4.361195797886884,0.236018304715881,0.21175277750493068,24,1.0,241
24,4.248329484885858,0.2305752141295747,0.20679273148389024,24,1.0,243
25,4.150353854332344,0.22540385252735823,0.20213868142930083,24,1.0,244
26,4.057269345492448,0.22038408727082517,0.1977821507614117,24,1.0,246
27,3.966913570874853,0.21469261333331752,0.19368890239238823,24,1.0,248
28,3.8644670399997154,0.2111462115477107,0.18981334749853085,24,1.0,250
29,3.800631807858793,0.2065585766694922,0.1861539668690508,24,1.0,251
30,3.7180543800508596,0.20189567655672763,0.18269614832828696,24,1.0,253
31,3.6341221780210975,0.19797106800398875,0.17941874471822816,24,1.0,255
32,3.5634792240717976,0.19441054297304375,0.17628179269291325,24,1.0,256
33,3.4993897735147876,0.19098165152592977,0.17331163587309276,24,1.0,258
34,3.437669727466736,0.18767705818398908,0.170465589217385,24,1.0,259
35,3.3781870473118034,0.18471602719889083,0.16776328982633737,24,1.0,260
36,3.324888489580035,0.18205959391568488,0.16517091682252175,24,1.0,262
37,3.2770726904823277,0.17972742622343466,0.16267737831417078,24,1.0,263
38,3.235093672021824,0.17723789385439817,0.1602999342753929,24,1.0,264
39,3.190282089379167,0.17490161482186703,0.15802678150210012,24,1.0,265
40,3.1482290667936064,0.17279724040704858,0.1558354438441982,24,1.0,267
41,3.1103503273268744,0.17015532028502217,0.1537265944355535,24,1.0,268
