timestamp,model,propertyIndex,consts,epsilon,confidence,explorer,seed,valueGapEvery,episodes,totalSamples,totalTransitions,nMin,deltaT,runtimeMs,trueFound,trueValue,robustFound,robustValue,robustTrueValue,robustValueGap,pointFound,pointValue,pointTrueValue,pointValueGap
2026-07-26T23:57:37.506169,CYCLIC_PREFS,1,-,0.2,0.05,rmdp,1,0,636000,18402390,73609560,2016622,0.0499999269297699,296524.8,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T00:02:46.881125,CYCLIC_PREFS,1,-,0.2,0.05,rmdp,2,0,635961,18401181,73604724,2016622,0.049999963262291086,307929.7,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T00:08:01.534148,CYCLIC_PREFS,1,-,0.2,0.05,rmdp,3,0,636506,18418076,73672304,2016622,0.04999995115144158,313321.7,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T00:13:15.678787,CYCLIC_PREFS,1,-,0.2,0.05,rmdp,4,0,636313,18412093,73648372,2016622,0.04999998748401741,312819.6,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T00:18:30.311446,CYCLIC_PREFS,1,-,0.2,0.05,rmdp,5,0,636127,18406327,73625308,2016622,0.049999963262291086,313302.9,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T00:23:42.097415,CYCLIC_PREFS,1,-,0.2,0.05,rmdp,6,0,636501,18417921,73671684,2016622,0.04999999959489424,310463.6,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T00:28:55.035435,CYCLIC_PREFS,1,-,0.2,0.05,rmdp,7,0,636345,18413085,73652340,2016622,0.049999805821957836,311629.6,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T00:34:03.174634,CYCLIC_PREFS,1,-,0.2,0.05,rmdp,8,0,636346,18413116,73652464,2016622,0.049999975373149694,306840.3,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T00:39:15.748043,CYCLIC_PREFS,1,-,0.2,0.05,rmdp,9,0,636279,18411039,73644156,2016622,0.0499999269297699,311254.4,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T00:44:23.152138,CYCLIC_PREFS,1,-,0.2,0.05,rmdp,10,0,635804,18396314,73585256,2016622,0.04999967260441638,306085.2,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T00:49:00.652222,CYCLIC_PREFS,1,-,0.2,0.05,optimistic,1,0,635888,18398918,73595672,2016622,0.04999981793269807,275263.9,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T00:53:39.042071,CYCLIC_PREFS,1,-,0.2,0.05,optimistic,2,0,635926,18400096,73600384,2016622,0.04999995115144158,277037.8,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T00:58:17.919743,CYCLIC_PREFS,1,-,0.2,0.05,optimistic,3,0,636413,18415193,73660772,2016622,0.04999993904060118,277649.3,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T01:02:56.454484,CYCLIC_PREFS,1,-,0.2,0.05,optimistic,4,0,636254,18410264,73641056,2016622,0.04999995115144158,277299.7,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T01:07:34.779555,CYCLIC_PREFS,1,-,0.2,0.05,optimistic,5,0,636049,18403909,73615636,2016622,0.04999998748401741,277104.4,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T01:12:16.671068,CYCLIC_PREFS,1,-,0.2,0.05,optimistic,6,0,636396,18414666,73658664,2016622,0.04999991481894771,280658.0,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T01:16:55.121862,CYCLIC_PREFS,1,-,0.2,0.05,optimistic,7,0,636264,18410574,73642296,2016622,0.04999984215420584,277220.4,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T01:21:33.818364,CYCLIC_PREFS,1,-,0.2,0.05,optimistic,8,0,636290,18411380,73645520,2016622,0.049999975373149694,277444.1,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T01:26:10.549605,CYCLIC_PREFS,1,-,0.2,0.05,optimistic,9,0,636184,18408094,73632376,2016622,0.0499999269297699,275543.0,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T01:30:42.579694,CYCLIC_PREFS,1,-,0.2,0.05,optimistic,10,0,635750,18394640,73578560,2016622,0.04999993904060118,270836.2,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T01:45:34.720039,CYCLIC_PREFS,1,-,0.2,0.05,uniform,1,0,1526510,46804019,187216076,2016622,0.04999998748401741,889941.9,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T02:00:34.429736,CYCLIC_PREFS,1,-,0.2,0.05,uniform,2,0,1527597,46839890,187359560,2016622,0.04999999959489424,898340.9,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T02:15:40.863911,CYCLIC_PREFS,1,-,0.2,0.05,uniform,3,0,1527104,46823621,187294484,2016622,0.04999998748401741,905173.7,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
2026-07-27T02:30:37.03239,CYCLIC_PREFS,1,-,0.2,0.05,uniform,4,0,1527493,46836458,187345832,2016622,0.049999975373149694,894956.2,false,NaN,false,NaN,NaN,NaN,false,NaN,NaN,NaN
