case study,property,p_reach,p_T,effective horizon,Execution time (ms),Execution time (s),episodes,deltaT,nMin,Robust foundNE,Robust value,Robust estimation error,Robust value gap,Point foundNE,Point value,Point estimation error,Point value gap,True found,True coalition results,True SW value
delayed_coord2,"<<p1:p2>>max=? ( R{""r1""}[C<=k] + R{""r2""}[C<=k] )",1,,5,6.150148413,0.006150148,119768712,0.025,22602874,TRUE,1.799943198,,,TRUE,1.799943198,,,TRUE,"(0.5,0.5)",1.8
safe_risky1,<<p1:p2>>max=? ( P[F s=1] + P[F s=2] ),1.00E-06,1,4,2629848.942,2629.848942,729213,0.02499999,8663565,TRUE,0.998238964,0.001761036,0.001761036,TRUE,1,,0,TRUE,"(0.6,0.4)",1
traffic_merge1,"<<car1:car2>>max=? (P[ !""crash"" U<=k ""goal"" ] + P[ !""crash"" U ""goal"" ])",4.00E-06,1,6,8969063.775,8969.063775,754414,0.024999999,49433708,FALSE,nan,,-2,TRUE,2,,-2,TRUE,"(1.0,1.0)",2
hide_or_run,<<p1>> Pmax=? [ F s=1 ],1,1,4,496694.2412,496.6942412,1136426,0.049999987,2016622,TRUE,0.999000999,0,0.999000999,TRUE,0.999000999,-0.999000999,0.999000999,TRUE,,0.999000999
mixed_ne,<<p1:p2>>max=? ( P[F s=1] + P[F s=2] ),1,1,4,2472610.855,2472.610855,4781146,0.024999993,8663565,TRUE,0.998386052,0.001613948,0,TRUE,1,0,0,TRUE,"(0.5,0.5)",1
delayed_coord1,"<<p1:p2>>max=? ( P[F ""goal""] + P[F ""goal""] )",1,1,5,1.023267975,0.001023268,119768712,0.025,22602874,TRUE,1.799943198,0.20005611,0.999999308,TRUE,1.799943198,-0.799943198,0.999999308,TRUE,"(0.999999654077,0.999999654077)",1.999999308
cyclic_prefs,"<<p1:p2>>max=? ( R{""r1""}[F s=3] + R{""r2""}[F s=3] )",1,1,4,5709649.838,5709.649838,8683224,0.024999999,8663565,FALSE,nan,,,FALSE,nan,,,FALSE,,nan
safe_risky3,"<<p1:p2>>max=? ( R{""r1""}[F s=1] + R{""r2""}[F s=2] )",1.00E-06,1,4,2583136.894,2583.136894,729213,0.02499999,8663565,TRUE,inf,,nan,TRUE,inf,,nan,TRUE,,inf
safe_risky2,<<p1:p2>>max=? ( P[F<=k s=1] + P[F<=k s=2] ),1.00E-06,,3,889006.6256,889.0066256,350850,0.024999984,2584440,TRUE,0.99741497,0.00258503,,TRUE,1,,,TRUE,"(0.5,0.5)",1
hide_or_run2,<<p1>> Pmax=? [ F<=k s=1 ] ,1,,3,74587.403,74.587403,376081,0.049999975,598726,TRUE,0.666666667,0,0.666666667,TRUE,0.666666667,-0.666666667,0.666666667,TRUE,,0.666666667
traffic_merge2,"<<car1:car2>>min=? (R{""time1""}[F ""goal""] + R{""time2""}[F ""goal""])",4.00E-06,1,6,8883412.922,8883.412922,754413,0.024999999,49433708,FALSE,nan,-2,2,TRUE,2,-2,2,TRUE,"(1.0,1.0)",2
