case study,property,p_reach,p_T,effective horizon,Execution time (ms),episodes,deltaT,nMin,Robust foundNE,Robust value,Robust estimation error = robust true value - robust value,Robust value gap = true value - robust true value,Point foundNE,Point value,Point estimation error,Point value gap,True found,True SW value
ids,"<<policy>> R{""damage""}min=? [F r=rounds ]",0,1,75,2971.055542,5,16875,7.4229E+11,TRUE,0,1.109444688,13.47273422,TRUE,14.54364869,-13.94796828,13.9864985,TRUE,14.58217891
ids,"<<policy>> R{""i_damage""}min=? [ F r=K ]",0,1,75,2653.452667,5,16875,7.4229E+11,TRUE,0,1,-0.666666667,TRUE,0.333333333,0.333333333,-0.333333333,TRUE,0.333333333
ids,"<<attacker>> R{""i_damage""}max=? [ F r=K ]",0,1,75,2236.900917,5,16875,7.4229E+11,TRUE,0,0.8,-0.466666667,TRUE,0.333333333,-5.55E-17,5.55E-17,TRUE,0.333333333
ids,"<<policy,attacker>> R{""damage""}min=? [F r=rounds ]",0,1,75,2520.851542,5,16875,7.4229E+11,TRUE,0,0.8,-0.8,TRUE,0,0.8,-0.8,TRUE,0
ids,"<<policy,attacker>> R{""i_damage""}min=? [ F r=K ]",0,1,75,2569.940084,5,16875,7.4229E+11,TRUE,0,0.8,-0.8,TRUE,0,0.8,-0.8,TRUE,0
,,,,,,,,,,,,,,,,,,
aloha1,"<<usr1>>R{""time""}min=?[F (s1=3 & t<=D)]",0,1,1575,165074.253,5,2480625,9.22337E+18,TRUE,inf,nan,nan,TRUE,inf,nan,nan,TRUE,inf
aloha2,<<usr1>>Pmax=?[F (s1=3 & t<=D)],0,1,1575,160664.2133,5,2480625,9.22337E+18,TRUE,0.31207262,-0.131109147,0.799981206,TRUE,0.966997501,-0.838041114,0.851988292,TRUE,0.980944679
aloha3,<<usr1:usr2>>max=? (P[F s1=3] + P[F s2=3]),0,1,1575,169371.0794,5,2480625,9.22337E+18,TRUE,1.568230759,-0.568230759,0.999999991,TRUE,1.998702808,-0.998702808,0.999999991,TRUE,1.999999991
aloha4,"<<usr1:usr2>>min=? (R{""time""}[F s1=3] + R{""time""}[F s2=3])",0,1,1575,169636.2143,5,2480625,9.22337E+18,FALSE,nan,,,TRUE,3.361874848,-1.136659697,1.186130817,TRUE,3.411345967
aloha5,<<usr1:usr2>>max=? (P[F (s1=3 & t<=D)] + P[F (s2=3 & t<=D)]),0,1,1575,165530.6567,5,2480625,9.22337E+18,TRUE,1.1114089,-0.2114089,1.098972124,TRUE,1.997299671,-0.997315835,0.998988288,TRUE,1.998972124
